"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Arsenal";32;21;7;4;62;24;70;63.9;26.43;68.15
2;"Manchester City";30;18;7;5;60;28;61;60.53;35.07;59.13
3;"Manchester United";31;15;10;6;56;43;55;58.83;39.93;53.16
4;"Aston Villa";31;16;6;9;42;37;54;42.7;47.27;39.1
5;"Liverpool";31;14;7;10;50;42;49;56.21;41.63;52.83
6;"Chelsea";31;13;9;9;53;38;48;64.63;45.34;52.55
7;"Brentford";32;13;8;11;48;44;47;56.67;46.53;49.76
8;"Everton";32;13;8;11;39;37;47;41.9;49.38;39.87
9;"Brighton";32;12;10;10;43;37;46;47.73;45.17;45.63
10;"Bournemouth";32;10;15;7;48;49;45;55.21;48.69;49.59
11;"Fulham";31;13;5;13;43;44;44;40.98;48.76;36.58
12;"Sunderland";31;11;10;10;32;36;43;33.41;49.14;32.95
13;"Newcastle United";31;12;6;13;44;45;42;49.7;44.14;46.44
14;"Crystal Palace";30;10;9;11;33;35;39;49.16;44.89;43.54
15;"Leeds";31;7;12;12;37;48;33;45.38;45.59;44.73
16;"Nottingham Forest";31;8;8;15;31;43;32;37.42;52.72;32.18
17;"West Ham";32;8;8;16;40;57;32;41.42;58.48;36.25
18;"Tottenham";31;7;9;15;40;50;30;36.98;48.07;37.53
19;"Burnley";32;4;8;20;33;63;20;31.74;69.81;21.02
20;"Wolverhampton Wanderers";32;3;8;21;24;58;17;30.29;57.76;28.2
