"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"AC Milan";38;26;8;4;69;31;86;67.34;34.63;72.82
2;"Inter";38;25;9;4;84;32;84;90.38;39.88;80.7
3;"Napoli";38;24;7;7;74;31;79;63.64;34.4;72.03
4;"Juventus";38;20;10;8;57;37;70;60.83;40.44;66.21
5;"Lazio";38;18;10;10;77;58;64;59.29;50.1;60.96
6;"Roma";38;18;9;11;59;43;63;66.8;42.05;68.18
7;"Fiorentina";38;19;5;14;59;51;62;62.04;45.23;61.56
8;"Atalanta";38;16;11;11;65;48;59;68.72;46.6;64.44
9;"Verona";38;14;11;13;65;59;53;56.39;52.04;53.32
10;"Torino";38;13;11;14;46;41;50;53.75;41.11;58.73
11;"Sassuolo";38;13;11;14;64;66;50;59.36;69.96;46.95
12;"Udinese";38;11;14;13;61;58;47;57.17;54.01;52.75
13;"Bologna";38;12;10;16;44;55;46;45.55;58.05;43.88
14;"Empoli";38;10;11;17;50;70;41;45.52;74.82;36.69
15;"Sampdoria";38;10;6;22;46;63;36;39.09;62.11;37.39
16;"Spezia";38;10;6;22;41;71;36;41.65;69.55;37.96
17;"Salernitana";38;7;10;21;33;78;31;39.49;71.42;34.45
18;"Cagliari";38;6;12;20;34;68;30;40.74;68.56;38.62
19;"Genoa";38;4;16;18;27;60;28;38.53;60.12;38.93
20;"Venezia";38;6;9;23;34;69;27;36.16;77.36;28.29
