"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"xPTS"
1;"Inter";31;23;3;5;71;26;72;74.28;26.19;70.31
2;"Napoli";31;20;5;6;47;30;65;47.64;33.68;52.02
3;"AC Milan";31;18;9;4;47;24;63;55.85;34.45;56.38
4;"Como";31;16;10;5;53;22;58;54.64;33.42;54.74
5;"Juventus";31;16;9;6;54;29;57;61.8;30.49;61.58
6;"Roma";32;18;3;11;45;28;57;48.53;39.32;51.65
7;"Atalanta";31;14;11;6;44;27;53;58.61;41.86;54.53
8;"Bologna";31;13;6;12;40;37;45;41.66;42.98;42.73
9;"Lazio";31;11;11;9;32;29;44;36.67;40.53;38.11
10;"Sassuolo";31;12;6;13;38;41;42;36.16;50.73;35.6
11;"Udinese";31;11;7;13;35;42;40;36.8;47.61;36.47
12;"Torino";32;11;6;15;37;54;39;42.8;49.19;41.15
13;"Parma Calcio 1913";31;8;11;12;22;39;35;30.21;48.75;32.47
14;"Genoa";31;8;9;14;36;44;33;40.47;46.01;38.41
15;"Cagliari";32;8;9;15;33;44;33;33.61;50.13;33.78
16;"Fiorentina";31;7;11;13;36;44;32;45.83;46.84;41.47
17;"Cremonese";32;6;9;17;26;47;27;32.66;59.16;28.78
18;"Lecce";31;7;6;18;21;43;27;28.2;52.85;27.78
19;"Verona";32;3;9;20;23;55;18;33.44;43.4;37.38
20;"Pisa";32;2;12;18;23;58;18;35.63;57.89;32.67
